Time,Spinz_On_BIS,Spinz_away_BIS
(1.6+0j),(-0.24656677522295006-3.9658411147852637e-22j),(0.6064752909475085-1.222217415247108e-16j)
(1.62+0j),(-0.2651020683070523-4.315715316431567e-23j),(0.6196643942603266-2.0337059007493033e-16j)
(1.6400000000000001+0j),(-0.2836180608356114-4.225487808010711e-23j),(0.6328165902353362+1.4208458353414877e-16j)
(1.6600000000000001+0j),(-0.3021123883772373+0j),(0.6458858599720767+8.100810841323229e-17j)
(1.68+0j),(-0.3205824676475014-1.2139163383212016e-22j),(0.6588273243090352+1.41395270018826e-16j)
(1.7+0j),(-0.33902547766259605-2.374424974926624e-22j),(0.6715974706113316+1.4097526698401376e-16j)
(1.72+0j),(-0.3574383399997094-1.5474515603231978e-22j),(0.6841543655813271-2.007171936255224e-17j)
(1.74+0j),(-0.3758176980989376+3.402074626832935e-22j),(0.6964578521915691-5.99887915831416e-17j)
(1.76+0j),(-0.39415989554026737-3.6916718800529175e-22j),(0.7084697291071376+3.982553977203951e-17j)
(1.78+0j),(-0.4124609532280854+2.8826658886225255e-22j),(0.7201539112531244+1.3874776219050339e-16j)
(1.8+0j),(-0.43071654541473625-7.030005608982508e-23j),(0.731476570485427-1.9721210091513058e-17j)
(1.82+0j),(-0.4489219744940328+4.797273192053367e-22j),(0.7424062556320213+1.569044711476677e-16j)
(1.84+0j),(-0.4670721444952539+6.676275678489854e-23j),(0.7529139914801749+1.3647686299288599e-16j)
(1.86+0j),(-0.4851615332082927-6.498980955355738e-23j),(0.7629733565860627+1.9372208468785744e-17j)
(1.8800000000000001+0j),(-0.5031841628712008-1.2642518805844207e-22j),(0.7725605400707332-5.771921895865592e-17j)
(1.9000000000000001+0j),(-0.5211335693525865-2.45720536275733e-22j),(0.7816543778350024+3.819894618318753e-17j)
(1.92+0j),(-0.5390027697633009+0j),(0.7902363688710573+3.7903270875100535e-17j)
(1.94+0j),(-0.5567842284346863-1.7353779589700098e-22j),(0.7982906725667153+1.3157544020100996e-16j)
(1.96+0j),(-0.5744698212045708+5.604261857117133e-23j),(0.805804088086833+6.522019059656463e-17j)
(1.98+0j),(-0.5920507979573105-1.0846187504736061e-22j),(0.8127660170735118+1.0156030993656912e-16j)
(2+0j),(-0.6095177433707919+0j),(0.819168411031867-4.57258981761369e-17j)
(2.02+0j),(-0.6268605358315127-2.5290222543629613e-22j),(0.825005704861235+3.6218526512047945e-17j)
(2.04+0j),(-0.6440683044890886+4.874093623474087e-22j),(0.830274738053762-4.48065480995636e-17j)
(2.06+0j),(-0.661129384433926+4.68916942844115e-23j),(0.8349746651148303+6.205793374014414e-17j)
(2.08+0j),(-0.6780312699967656+1.3509826735764726e-22j),(0.8391068567649067+8.767171044288707e-18j)
(2.1+0j),(-0.6947605661866825-1.2949303068887795e-22j),(0.8426747934626408+0j)
(2.12+0j),(-0.7113029383052946+1.6514754949688163e-22j),(0.8456839527472705-3.8540083568733233e-17j)
(2.14+0j),(-0.7276430597998401-3.9401046549363415e-23j),(0.8481416918376484+1.692087401993503e-17j)
(2.16+0j),(-0.7437645584468682-1.8753867364813345e-22j),(0.8500571268486249+2.7153484819439334e-17j)
(2.18+0j),(-0.7596499609921071-2.136488810392961e-22j),(0.8514410098962105-5.219514255259071e-17j)
(2.2+0j),(-0.7752806364110907+0j),(0.8523056052639789-1.0175320434312038e-16j)
