phi,Spinx,Spiny
(-2.101993619717876+0j),(-0.2728423259647355+0j),(-0.9620587638819955+0j)
(-2.0947925056713825+0j),(-0.26707744645769305+0j),(-0.9636750684715457+0j)
(-2.0875431994495637+0j),(-0.26119153862937633+0j),(-0.9652869936699755+0j)
(-2.0802439128021772+0j),(-0.2551796338697297+0j),(-0.9668936624355912+0j)
(-2.0728927307941176+0j),(-0.24903648510900714+0j),(-0.9684941037944171+0j)
(-2.065487600384194+0j),(-0.24275654451325532+0j),(-0.9700872435487357+0j)
(-2.0580263176764286+0j),(-0.2363339387971679+0j),(-0.9716718938883725+0j)
(-2.05050651365017+0j),(-0.2297624418274897+0j),(-0.9732467417492183+0j)
(-2.0429256381410736+0j),(-0.22303544413464582+0j),(-0.9748103357369892+0j)
(-2.035280941803602+0j),(-0.21614591888348472+0j),(-0.9763610714023855+0j)
(-2.0275694557353576+0j),(-0.2090863837731587+0j),(-0.9778971746153393+0j)
(-2.0197879683821034+0j),(-0.2018488582378375+0j),(-0.9794166827393138+0j)
(-2.0119329992667963+0j),(-0.19442481519963914+0j),(-0.9809174232495751+0j)
(-2.0040007689926798+0j),(-0.18680512647713823+0j),(-0.9823969893692979+0j)
(-1.9959871648545264+0j),(-0.17898000076953538+0j),(-0.983852712210795+0j)
(-1.987887701247016+0j),(-0.1709389129081207+0j),(-0.9852816288015269+0j)
(-1.979697473876498+0j),(-0.16267052277998786+0j),(-0.986680445239737+0j)
(-1.9714111065504254+0j),(-0.1541625819664241+0j),(-0.9880454940545227+0j)
(-1.963022689022098+0j),(-0.14540182567638452+0j),(-0.9893726846289899+0j)
(-1.9545257039857618+0j),(-0.13637384696164961+0j),(-0.99065744526798+0j)
(-1.9459129408192006+0j),(-0.12706294943007032+0j),(-0.9918946551333622+0j)
(-1.9371763930167967+0j),(-0.11745197366472204+0j),(-0.9930785638016066+0j)
(-1.928307135387562+0j),(-0.10752209122205966+0j),(-0.9942026955803506+0j)
(-1.9192951759267902+0j),(-0.09725255829595551+0j),(-0.995259734895817+0j)
(-1.9101292756857675+0j),(-0.08662041871472748+0j),(-0.9962413879485661+0j)
